year	game	developer	year_released
2015	DOOM	id Software	1993
2015	Pac-Man	Namco	1980
2015	Pong	Atari	1972
2015	Super Mario Bros.	Nintendo	1985
2015	Tetris	Alexey Pajitnov	1985
2015	World of Warcraft	Blizzard Entertainment	2004
2015	Angry Birds	Rovio Entertainment	2009
2015	FIFA International Soccer	EA Canada	1993
2015	The Legend of Zelda	Nintendo	1986
2015	Minecraft	Mojang Studios	2011
2015	The Oregon Trail	Don Rawitsch, Bill Heinemann, and Paul Dillenberger	1971
2015	Pokémon Red and Green	Game Freak	1996
2015	The Sims	Maxis	2000
2015	Sonic the Hedgehog	Sonic Team	1991
2015	Space Invaders	Taito	1978
2016	Grand Theft Auto III	DMA Design	2001
2016	The Legend of Zelda	Nintendo	1986
2016	The Oregon Trail	Don Rawitsch, Bill Heinemann, and Paul Dillenberger	1971
2016	The Sims	Maxis	2000
2016	Sonic the Hedgehog	Sonic Team	1991
2016	Space Invaders	Taito	1978
2016	Elite	David Braben, Ian Bell	1984
2016	Final Fantasy	Square	1987
2016	John Madden Football	Park Place Productions	1990
2016	Minecraft	Mojang Studios	2011
2016	Nürburgring	Reiner Foerst	1976
2016	Pokémon Red and Green	Game Freak	1996
2016	Sid Meier's Civilization	MicroProse	1991
2016	Street Fighter II	Capcom	1991
2016	Tomb Raider	Core Design	1996
2017	Donkey Kong	Nintendo	1981
2017	Halo: Combat Evolved	Bungie	2001
2017	Pokémon Red and Green	Game Freak	1996
2017	Street Fighter II	Capcom	1991
2017	Final Fantasy VII	Square	1997
2017	Microsoft Solitaire	Wes Cherry (Microsoft)	1990
2017	Mortal Kombat	Midway Games	1992
2017	Myst	Cyan	1993
2017	Portal	Valve Corporation	2007
2017	Resident Evil	Capcom	1996
2017	Tomb Raider	Core Design	1996
2017	Wii Sports	Nintendo	2006
2018	Final Fantasy VII	Square	1997
2018	John Madden Football	Park Place Productions	1990
2018	Spacewar!	Steve Russell and others	1962
2018	Tomb Raider	Core Design	1996
2018	Asteroids	Atari	1979
2018	Call of Duty	Infinity Ward	2003
2018	Dance Dance Revolution	Konami	1998
2018	Half-Life	Valve Corporation	1998
2018	King's Quest	Sierra On-Line	1984
2018	Metroid	Nintendo	1986
2018	Minecraft	Mojang Studios	2011
2018	Ms. Pac-Man	General Computer Corporation	1982
2019	Colossal Cave Adventure	William Crowther, Don Woods	1976
2019	Microsoft Solitaire	Wes Cherry (Microsoft)	1990
2019	Mortal Kombat	Midway Games	1992
2019	Super Mario Kart	Nintendo	1992
2019	Candy Crush Saga	King	2012
2019	Centipede	Atari	1981
2019	Dance Dance Revolution	Konami	1998
2019	Half-Life	Valve Corporation	1998
2019	Myst	Cyan	1993
2019	NBA 2K	Visual Concepts	1999
2019	Sid Meier's Civilization	MicroProse	1991
2019	Super Smash Bros. Melee	HAL Laboratory	2001
2020	Bejeweled	PopCap Games	2001
2020	Centipede	Atari	1981
2020	King's Quest	Sierra On-Line	1984
2020	Minecraft	Mojang Studios	2011
2020	Frogger	Konami	1981
2020	GoldenEye 007	Rare	1997
2020	Guitar Hero	Harmonix	2005
2020	NBA Jam	Midway Games	1993
2020	Nokia Snake	Nokia	1997
2020	Super Smash Bros. Melee	HAL Laboratory	2001
2020	Uncharted 2: Among Thieves	Naughty Dog	2009
2020	Where in the World Is Carmen Sandiego?	Broderbund	1985
2021	Animal Crossing	Nintendo	2001
2021	Microsoft Flight Simulator	Sublogic	1982
2021	StarCraft	Blizzard Entertainment	1998
2021	Where in the World Is Carmen Sandiego?	Broderbund	1985
2021	Call of Duty	Infinity Ward	2003
2021	FarmVille	Zynga	2009
2021	FIFA International Soccer	EA Canada	1993
2021	Guitar Hero	Harmonix	2005
2021	Mattel Football	Mattel	1977
2021	Pole Position	Namco	1982
2021	Portal	Valve Corporation	2007
2021	Tron	Bally Midway	1982
2022	Dance Dance Revolution	Konami	1998
2022	The Legend of Zelda: Ocarina of Time	Nintendo	1998
2022	Ms. Pac-Man	General Computer Corporation	1982
2022	Sid Meier's Civilization	MicroProse	1991
2022	Assassin's Creed	Ubisoft Montreal	2007
2022	Candy Crush Saga	King	2012
2022	Minesweeper	Curt Johnson (Microsoft)	1990
2022	NBA Jam	Midway Games	1993
2022	PaRappa the Rapper	NanaOn-Sha	1996
2022	Resident Evil	Capcom	1996
2022	Rogue	A.I. Design	1980
2022	Words with Friends	Zynga	2009
2023	Barbie Fashion Designer	Digital Domain	1996
2023	Computer Space	Syzygy Engineering	1971
2023	The Last of Us	Naughty Dog	2013
2023	Wii Sports	Nintendo	2006
2023	Age of Empires	Ensemble Studios	1997
2023	Angry Birds	Rovio Entertainment	2009
2023	Call of Duty 4: Modern Warfare	Infinity Ward	2007
2023	FIFA International Soccer	EA Canada	1993
2023	GoldenEye 007	Rare	1997
2023	NBA 2K	Visual Concepts	1999
2023	Quake	id Software	1996
2023	Wizardry	Sir-Tech	1981
2024	Asteroids	Atari	1979
2024	Elite	David Braben, Ian Bell	1984
2024	Guitar Hero	Harmonix	2005
2024	Metroid	Nintendo	1986
2024	Myst	Cyan	1993
2024	Neopets	Adam Powell, Donna Powell	1999
2024	Resident Evil	Capcom	1996
2024	SimCity	Maxis	1989
2024	Tokimeki Memorial	Konami	1994
2024	Tony Hawk's Pro Skater	Neversoft	1999
2024	Ultima	Richard Garriott, Origin Systems	1981
2024	You Don't Know Jack	Jellyvision	1995
